,title,pred_class
0,"A new Colorado law literally allows residents to print ballots from their home computers, then encourages them to turn ballots over to collectors.",0
1,Sixty percent of New Jersey doctors do not accept Medicaid patients.,1
2,Austin is a city that has basically doubled in size every 25 years or so since it was founded.,1
3,Says U.S. Rep. Stephen Fincher breaks earmark pledge.,0
4,"Of all cities in the United States with more than 100,000 people, Providence is the 183rd safest.",1
5,"When the salmonella source was finally identified, FDA officials had to wait for industry approval before they could go live with the [peanut] recall.",1
6,"Mr. President, multiple times from your administration there have come statements that Republicans have no ideas and no solutions on health care.",0
7,"Prior to 1962, everybody prayed before school started, and the Bible was the principal textbook in all schools.",0
8,"The IRS is already planning on 19,500 new employees to administer Obamas health care mandate.",0
9,Wisconsin is one of several states where you can change your early ballot if you think youve made a mistake.,1
10,Passage of a referendum on an aquarium for Clearwater means NO future funding for our neighborhoods.,1
11,Weve seen a remarkable reduction in the number of Americans being executed -- its down nearly two-thirds over the past generation.,1
12,We are taking Virginias investment in public education to the highest level in the commonwealths history.,1
13,Ninety percent of the job growth in Virginia has been in the private sector.,1
14,Says Barack Obama promised he would cut the deficit in half but didnt.,0
15,David Beckhams soccer stadium would get a special tax deal that lets them off the hook for $2 million in taxes every year for 30 years.,0
16,"John McCain ""is one of the few senators of either party who oppose this bill (to expand education aid for veterans) because he thinks it's too generous.""",0
17,Americans now spend 100 days out of the year working for government before we even start working for ourselves.,1
18,"Without representation, (the IRS) can increase taxes.",0
19,"This rule could prevent children under 18 from using such tools as a power screwdriver, a milking machine or something as simple as a wheelbarrow on the family farm . . .",0
20,The Texas Department of Transportation... misplaced a billion dollars.,1
21,Says because of Hurricane Sandy in Atlantic City much of that boardwalk no longer exists -- just the pillars where the boardwalk used to be.,0
22,Sixteen thousand new Internal Revenue Service agents will be empowered to enforce the new health care legislation.,0
23,"Canada ""does spills into their water to practice in the event that this would happen. That is not allowed in the United States.""",1
24,The tax policies of George W. Bush created a dynamic effect of high growth.,1
25,Rhode Islands unemployment insurance system is the most expensive such system in the country.,1
26,"Under the compromise tax agreement, 99.7% of American families will not pay 1 nickel in an estate tax.",1
27,Austin is burdened by the fastest-growing tax increases of any major city in the nation.,1
28,"The average Georgia family makes $6,000 less than the average family did 10 years ago when inflation is factored in.",1
29,"Virginia was named best managed state, best state for business and best state toraise a child while I was governor.",1
30,"Most of, if not all of, the [DeKalb school construction] projects always came in on or were under budget.",1
31,Women earn only 77 cents for every dollar earned by men in the same position.,1
32,"Under my platform, I will make no changes to the current (Medicare) system for current retirees and anyone approaching retirement.",0
33,Over the past five years the federal government has paid out $601 million in retirement and disability benefits to deceased former federal employees.,0
34,On the success of Cash for Clunkers,0
35,The government -- not the armed forces -- is stockpiling hundreds of millions of rounds of ammunition for domestic use.,0
36,"At least Obama didn't marry his cousin, as Giuliani did.",1
37,"Says the Republican Party platform says pull back even more of the rules on campaign finance reform, get rid of McCain-Feingold while the Democratic Party platform says we want to find a way to put more fair rules on campaign finance reform.",1
38,Said he won the Democratic primary without one ... negative TV spot.,1
39,"Outside of recall elections, theres never been a public official removed from office in Wisconsin for anything but malfeasance in office.",0
40,"For the first time in history, Wisconsin has more government jobs than manufacturing jobs.",1
41,"If you look worldwide, the number of terrorist incidents have not substantially increased.",1
42,Says his tax and fee cuts will save households $540 over two years.,1
43,Teddy Roosevelt first called for (health care) reform nearly a century ago.,0
44,Social Security took seven years before anybody got the first check.,0
45,"Then, the Republican leader theatrically introduced new bills with stopgap budget language, declaring that we could stay until midnight and pass this compromise. Except under our constitution, a bill has to be read on 3 different days, so thats not possible.",0
46,"The chairman of the party of Florida, who is an avid and outward supporter of Marco Rubio, gets to appoint 30 of those delegates.",0
47,John wasn't this raging populist four years ago when he ran for president.,1
48,Says Sen. Ted Cruz used to be in favor of birthright citizenship but is now against it.,0
49,"The CNBC debate was supposed to be three hours, and he renegotiated it down to two hours.",0
50,An amendment inserted by lawmakers into the state budget exempts scientific researchers from all state animal cruelty laws.,0
51,"Under David Dewhursts leadership, the Texas Senate passed an expansion of in-state tuition and free health care to illegal immigrants.",0
52,"If you survey, most (North Carolina) Democrats also agree with our (election) laws and voter ID.",0
53,We are coming up on our 40th anniversary of electing a Republican to the United States Senate. 1972 was the last time New Jersey sent a Republican to the United States Senate.,1
54,DeKalb County has graduated five police academies and three fire academies to help reach its ambitious hiring goals in both departments.,1
55,Women are paid 77 cents for every $1 men get for the same work.,1
56,Weve lost 26 million jobs since (Obamas) been president.,0
57,Says Texas Republican leaders have proposed laying off thousands of teachers.,0
58,Says Bernie Sanders opposes requiring all children to have a K-12 education.,0
59,No other Northeastern state has passed a photo ID law,1
60,Fifty-three percent of teens in Central Falls are getting pregnant.,1
61,Our numbers are going up at the airport.,0
62,Im the only candidate for governor whos rolled out any policies so far.,1
63,"When the Republicans were in charge, they actually expanded government health care with the prescription drug program.",0
64,Says half the Americans dont pay any income taxes.,1
65,I released the most extensive financial review of anybody in the history of politics. You dont learn much in a tax return.,0
66,Says David Jolly refused to cut spending for a national greenhouse in D.C.,0
67,Rep. Adam Putnam was silent when Rush Limbaugh called Sonia Sotomayor a racist.,0
68,The Bundy Ranch deal is all about Nevada Sen. Harry Reid using federal violence to take peoples land in his state so he can package it to re-sell it to the Chinese.,0
69,We have spent $350 million to deal with sea-level rise in the Miami area and hundreds of millions of dollars to deal with coral reefs.,0
