,text,label,pred_class,R
0,"syria ceasefire? lavrov, kerry agree to fight al-nusra, no strikes on ‘rebels,’ aleppo relief",0,1,579477906.9052335
1,obama tells students at town hall about how failures have shaped him,1,0,327208.9999931936
2,"trump tweets mock video of himself tackling, punching cnn logo",1,0,300213.10668885405
3,n. korea’s latest missile launch aimed at testing carrying “large scale heavy nuclear warhead”,0,1,141965.07454670782
4,russian lawmaker warns: north korea ready to launch missile capable of hitting u.s.,0,1,106148.57283973221
5,"how to get sick on the u.s. campaign trail: little sleep, bad food, germs everywhere",1,0,82986.72793927569
6,provocation? republican senators introduce new bill to move us embassy in israel to jerusalem,0,1,51463.847913780104
7,commentary: manic or evasive - these veep guys sure don’t feel like leaders,1,0,41352.107586297476
8, white house officials push for kushner to step aside amid russia scandal,0,1,35473.37330874483
9,"john anderson, liberal republican who challenged reagan, dies at 95",1,0,30541.997304399545
10, puerto rico’s governor pleads for help after trump threatens to abandon recovery efforts,0,1,16983.706567910005
11,iranian students feel robbed of their american dreams,1,0,10443.021156830364
12,iraqi pm rebuffs u.s. decree that ‘foreign shia militias’ should leave country,0,1,7618.837227337598
13,trump says he fired fbi chief because he 'wasn't doing a good job',1,0,7590.614676810136
14,"trump goes on offensive against former beauty queen, clinton calls him 'unhinged'",1,0,6723.372717465319
15,sec of state rex tillerson: “steps are under way” to remove syria’s bashar al-assad…“russian government” should “consider carefully continued support for assad regime” [video],0,1,5321.16344191022
16,democrat hillary clinton calls orlando shooting 'an act of terror',1,0,4663.447936542228
17,kerry: video cut 'clumsy and stupid and inappropriate',1,0,4211.393392368911
18,what we know so far about the london train bomb,1,0,3045.5093449543724
19,snap of clinton reading pence email headline goes viral,1,0,1938.1815018206921
20,liberal warren throws down gauntlet to president-elect trump,1,0,1764.559771974223
21,breaking news: first charges filed in special counsel mueller’s russia probe…as pressure mounts for mueller to resign,0,1,1423.3257458450844
22," trump abuses power, punishes qatar for refusing to give $500 million loan to son-in-law kushner",0,1,1282.859508263585
23,who are paul manafort and rick gates?,1,0,978.0182089410787
24," president obama restores consumer’s rights to sue the big banks for misconduct, cracks down on tax evasion",0,1,918.1335697960476
25,obama warns: crackdown on terrorism in u.s. would violate iran deal,0,1,912.7727984416144
26,latest hillary clinton bio for kids highlights successes and failures,1,0,869.3620395184345
27,"'this is not a reality show,' obama tells trump",1,0,868.68385943563
28, china warns trump: provoke north korea and ‘pay the price’,0,1,810.0015105636016
29,u.s. capitol replacing flag display over confederate imagery,1,0,794.0423756461303
30,"hillary clinton, nyc mayor assailed for racially charged joke",1,0,793.9637641020519
31,fbi director comey at cyber conference: 'you're stuck with me',1,0,606.123692621894
32,trump given unverified reports that russia had damaging details about him,1,0,578.0769837102639
33,canada sends troops to u.s. border to deal with illegals and asylum seekers running from trump’s new policies on immigration,0,1,522.7890781467388
34,trump apologizes for lewd talk caught on live microphone in 2005,1,0,402.2591154424507
35,wife of 'american sniper' making waves in texas republican politics ,1,0,395.160761088944
36, delegate plan to block trump is concrete and in motion as rule change advances,0,1,368.4129978640367
37, global forecasting service rates trump as high threat to world security and economic stability,0,1,366.57394545857085
38, trump targets clean water and clean air regulations at environmental protection agency,0,1,344.8937417823195
39,u.s. senate passes bipartisan bill claims to facilitate ‘better public access’ to gov’t records,0,1,332.2443810402361
40,trump fans in iowa cheer his debate performance,1,0,303.8418399324066
41,singer jennifer holliday pulls out of trump inauguration event,1,0,294.5385473011103
42,trump campaign manager says he called reporter after run-in: cnn,1,0,293.97431359234844
43,fellow republicans assail trump after he defends confederate monuments,1,0,250.643964918048
44,man arrested at trump rally said he wanted to shoot candidate: court papers,1,0,237.1880980946697
45,clinton regrets calling 'half' of trump supporters 'deplorable',1,0,235.70230340869787
46,obama trolls trump over 'mean tweet' on late night tv,1,0,232.27051214159317
47,democrats push for ban and restrictions on online ammo sales,0,1,231.19177947561602
48,"an obama, not the president, brings down the house at democratic convention",1,0,190.71984083689634
49,trump says: 'most likely i won't be doing the debate' on fox news,1,0,185.70483822611732
50, republicans push bill to legalize voter intimidation to help trump in pennsylvania,0,1,162.6167528668266
51,watch: north korean delegation sits in front row as president trump takes aim at “rocket man” and his “suicide mission” on world stage,0,1,162.51516877242474
52,obama paints trump as no friend of the working class,1,0,155.20726219298908
53, australia prime minister tells trump to man up and accept refugees because ‘a deal’s a deal’,0,1,144.51998881494234
54,popular michelle obama courts young people for clinton,1,0,140.49751260834057
55,neo-nazi group moves to 'dark web' after website goes down,1,0,128.33840984178923
56,"belgian mayor's throat slashed in cemetery, shocking country",1,0,126.92049294673713
57,kellyanne conway's husband says trump tweets hurting legal case,1,0,124.34896576840892
58,michigan senate approves bill to allow concealed carry in “gun free zones” or “mass murderer empowerment zones”,0,1,122.90324032041025
59,teen jackie evancho first singer confirmed for trump inauguration,1,0,118.59811389968637
60,"treason? white house says it’s “entirely likely,” “even expected” iran will use $billions in sanctions relief for terrorism [video]",0,1,114.60407685004758
61,u.s. latino voter group to get free ad space on telemundo boxing program,1,0,110.76525717852526
62,trump daughter ivanka to get west wing office,1,0,107.8982600924433
63,mohammed dahlan speaks about palestinian unity and his back-room role,1,0,100.61101272778585
64,obama’s epa pushes for tougher mileage standards for trucks,0,1,97.80681363084534
65,adele: no permission given to political campaigns to use her music,1,0,92.5700907694059
66,gere faults trump for blurring meaning of 'refugee' and 'terrorist',1,0,90.1639403716835
67,firebrand milo quits breitbart news after child sex remarks,1,0,89.69723916491407
68,"trump on putin: 'we get along very, very well' - cbn interview",1,0,86.84660706586546
69,special report: why obama and other gun control advocates own stock in firearms makers,1,0,85.08008686043277
70, michael jordan condemns north carolina anti-lgbt law,0,1,83.80795595255933
71, americans unload on trump for threatening north korea and china on twitter,0,1,79.58860260624196
72,"u.s. state department tweets, then deletes congratulations for iran oscar win",1,0,75.98526612683014
73,u.s. fighter jets scrambled: russian bombers caught flying near alaska…first time since 2015,0,1,74.83323866625834
74,merkel tells voters: 'don't experiment' with the left,1,0,74.16156960979718
75,indian police ask interfaith couples: is it love or terror?,1,0,73.27289191933151
76,clinton attacks trump's outreach to black voters in new ad,1,0,72.07016701695001
77,"trump's taco tweet baffles, riles social media users",1,0,65.33309190468198
78,"attacking trump, democrat kaine makes campaign-trail debut",1,0,63.58456551960671
79,justice scalia received last rites from catholic priest at texas ranch,1,0,62.01530192848627
80,baseball field shooting shakes american symbol of fair play,1,0,61.74940750611872
81,huckabee says he will attend trump event for veterans in iowa: cnn,1,0,56.59877196659011
82,elton john denies he will play at trump inauguration,1,0,56.43914775942816
83,ohio's 'dirty little secret': blue-collar democrats for trump,1,0,56.13047206393373
84,republicans block pentagon’s climate scam plan,0,1,54.50638338341614
85,sanders supporters banned from tinder after campaigning on dating app ,1,0,53.87462959066459
86,rubio sides with democrats on giving a whopping $2 billion for zika virus prevention,0,1,53.32239638581032
