,text,label,pred_class,R
0,"hospitals, doctors, mris, surgeries and so forth are more extensively used and far more expensive in this country than they are in many other countries.''	health-care	mitt-romney	former governor	massachusetts	republican	34	32	58	33	19	a fox news sunday interview
9874.json	barely-true	obamacare cuts seniors medicare.	health-care,medicare	ed-gillespie	republican strategist	washington, d.c.	republican	2	3	2	2	1	a campaign email.
3072.json	mostly-true	the refusal of many federal employees to fly coach costs taxpayers $146 million annually.	government-efficiency,transparency	newsmax	magazine and website	florida	none	0	0	0	1	0	an e-mail solicitation
2436.json	mostly-true	florida spends more than $300 million a year just on children repeating pre-k through 3rd grade.	education	alex-sink		florida	democrat	1	2	2	4	0	figures cites on campaign website
9721.json	true	milwaukee county sheriff david a. clarke jr. advised citizens to point that barrel center mass and pull the trigger because 911 is not our best option.	crime,criminal-justice,guns,legal-issues	greater-wisconsin-political-fund		wisconsin	none	3	3	3	1	1	a campaign tv ad
3627.json	false	almost 37 percent of the total income from planned parenthood is from abortions.	abortion	ronald-renuart	state representative	florida	republican	0	1	0	0	0	comments during a committee hearing
11900.json	half-true	the united states has the highest rate of childhood poverty of almost any major country on earth.	children,poverty	bernie-s	u.s. senator	vermont	independent	18	12	22	41	0	comments during the pbs democratic debate
4611.json	true	under governor almond the ri dmv had a program that allowed undocumented [people to] use their personal tax identification number . . . to apply [for] and receive a ri drivers license.	civil-rights,homeland-security,immigration,public-safety,transportation,workers	david-quiroa	prresident, guatemalan-american alliance of rhode island	rhode island	newsmaker	0	0	0	0	0	a news release
3168.json	pants-fire	illegal aliens cost the state of rhode island $400 million a year.	census,crime,education,health-care,immigration,state-budget,taxes	terry-gorman	president, rhode islanders for immigration law enforcement	rhode island	newsmaker	1	0	0	0	1	a radio interview
6832.json	pants-fire	says eric cantor voted to assure congress would be paid if the government shut down and against guaranteeing troops would be paid.	congressional-rules,federal-budget,military	wayne-powell	lawyer	virginia	democrat	1	1	0	0	1	a debate.
5893.json	mostly-true	if congress froze the current spending level and then cut it by 2 percent annually, we could balance the budget in five years.	deficit,federal-budget	jamie-radtke		virginia	republican	1	1	1	2	0	a statement
3304.json	true	every (wisconsin) legislator that votes for this bill will have to give up the same amount of pay as other state employees.	labor,state-budget	jeff-fitzgerald	incoming speaker of state assembly	wisconsin	republican	2	0	1	2	2	an interview on the fox news channel
1638.json	half-true	marco rubio controlled funds that out of the $600,000 that were raised, only $4,000 went to candidates to try to improve their chances to be elected to office.""",1,0,2.3083086426130772e+39
1,"georgia has the most restrictive ballot access laws in the country.	elections	mary-n			independent	0	0	0	0	0	a television interview
3666.json	false	on whether the federal debt limit should be raised	federal-budget	barack-obama	president	illinois	democrat	70	71	160	163	9	an interview with george stephanopoulos
4608.json	half-true	when george w. bush was governor of texas, the percentage uninsured went down. under his successor, rick perry, its gone up.	children,health-care,new-hampshire-2012	mitt-romney	former governor	massachusetts	republican	34	32	58	33	19	a republicam debate in hanover, n.h.
11023.json	false	says his book,the art of the deal,is the no. 1 selling business book of all time.	candidates-biography,job-accomplishments	donald-trump	president-elect	new york	republican	63	114	51	37	61	remarks on cnn.
2096.json	half-true	democrats in the 1930s wanted president franklin roosevelt to be more conservative.	history,pundits,abc-news-week	george-will	columnist	maryland	columnist	7	6	3	5	1	a roundtable discussion on abc's this week
12853.json	true	says danny tarkanian wants to defund planned parenthood and would outlaw a womans right to choose, even in cases of rape or incest.	abortion	jacky-rosen		nevada	democrat	0	0	0	0	0	a press release.
12670.json	pants-fire	condemning violence against the police and urging support for the police is markedly absent from president barack obamas public remarks.	criminal-justice	william-johnson			organization	0	0	0	0	1	an interview on fox news
1508.json	half-true	florida leads the nation in elected officials charged with crimes.""",1,0,2.3021415621844728e+33
2,"let's pay attention to kids who are not going to college, which ends up being about 60 percent of the kids... and get them trained for the jobs that are there. because, you know, there are auto mechanic jobs paying $50,000, $60,000 that they can't get filled. there are airline mechanic jobs paying a lot of money that can't get filled. remarks at afscme forum 6/19/2007",1,0,2.525784493277039e+28
3,"fifty-six percent decline in overall crime. a 73 percent decline in motor-vehicle theft. a 67 percent decline in robbery. a 66 percent decline in murder. this is way beyond what happened in the nation during this period of time.	crime	rudy-giuliani	attorney	new york	republican	9	11	10	7	3	new york, n.y.
5122.json	mostly-true	in 1958, there were 16 states in this country that prohibited -- prohibited -- an african-american and a caucasian from being married.	civil-rights,gays-and-lesbians,marriage	sheila-oliver	assemblywoman	new jersey	democrat	0	1	1	3	0	a news conference
11191.json	true	says donald trump has changed his mind on abortion.	abortion	carly-fiorina		california	republican	5	5	4	3	2	the first republican presidential debate
10315.json	mostly-true	it has been many years, if ever, since an inmate has completed his or her high school diploma while incarcerated in a state correctional facility for adults.	corrections-and-updates,criminal-justice,public-safety	lc-buster-evans	assistant commissioner	georgia	none	0	0	0	1	0	in a press release
1964.json	mostly-true	says u.s. rep. michael mccaul is the sixth-richest person in congress.	candidates-biography	ted-ankrum	retired	texas	democrat	0	1	0	1	0	a speech
624.json	true	mccain is raising campaign cash with one of (jack) abramoff's closest business partners: scandal-plagued conservative activist ralph reed.""",1,0,8.85375828676358e+23
4,"what difference, at this point, does it make? i am the guy that got under her skin and provoked that infamous response from hillary clinton by asking a pretty simple question, why didnt you just pick up the phone and call the survivors (of the benghazi attack)?",1,0,9.316734552250786e+21
5,the mayor said 'if you happen to be in this country in an undocumented status . . . then we welcome you here. we want you here. we'll protect you here.' ,1,0,1.159155209829634e+19
6,"[when i was mayor] providence was one of the five renaissance cities of america, according to usa today in those days. money magazine said it was the fifth best city to live in in america. in addition to that, all cities almanac said in 1994, i believe, that it was the safest city in america.",1,0,3.14633107260438e+18
7,"people want the minimum wage, they want marriage equality, they want womens health care. theres issues that actually that really do matter, social issues that matter to the people of this state. so i know barbara would support those issues, i know the governor hasnt. youve seen the actions hes taken on them.",1,0,2.4928702351232835e+18
8,"these people that we were going to deport for good reason ended up becoming citizens. ended up becoming citizens. and it was 800. and now it turns out it might be 1,800, and they dont even know.",1,0,1.6171961199782986e+17
9,"under president barack obamas jobs bill, you can sue if you are unemployed and dont get the job and think you werent hired because you are unemployed.",1,0,9.262382566104035e+16
10,"i'm proud of the fact that i've raised more money from small donors than anybody else, and that we're getting $25, $50, $100 donations, and we've done very well doing it that way.",1,0,1.1717025634588534e+16
11,"if you ask how many times did ronald reagan attend a fundraiser when he ran for re-election in 1984, the answer is eight times. if you say how many times did barack obama attend a fundraiser in 2012, the answer is 228 times.",1,0,1.0799354400159998e+16
12,"tommy thompson created the first school choice program in the nation, giving thousands of milwaukee students the choice of where they go to school no matter where they live or how much money their parents make.",1,0,6822598174479833.0
13,"i'm the first person who really took up the issue of the war. four years ago i said that there was no proof that iraq had weapons of mass destruction, and, actually... did an analysis which disproved the cause for the war.",1,0,3814003142714254.0
14,"oregon concealed gun applications include home phone numbers, home address, social security numbers, what kinds of guns you have in the house whether you were dishonorably discharged from the military, what controlled substances you are taking and were you ever accused of -- accused, mind you -- of stalking.",1,0,591449788392780.0
15,"says ted strickland in this campaign bragged about his a-plus rating with the nra. ... he has said he has a mixed and spotty record on this issue and that he can be criticized for it. those are his words, not mine. so i dont know where he is on this issue.",1,0,378159868533574.5
16,"you know we can't just pull out now... the truth of the matter is: if we started today, it would take one year, one year to get 160,000 troops physically out of iraq, logistically.",1,0,258775419694739.88
17,"in 1947, when i was born, there were about 450,000 lions. in the mid-70s, when my kids were born, there were about 100,000. today, there are less than 30,000.",1,0,123415500203314.27
18,"do you know that, statistically, when you take the sat a second time, one third of the people that take the sat, even if theyve been studying, will get a lower score than they did the first time around?",1,0,95844350663470.7
19,i've seen (life) from the factory floor when i was working the graveyard shift ...and i'd be ankle-deep in water at the murray ohio bicycle plant where i was running a machine that was so loud i couldn't hear myself yell if i wanted to.,1,0,84138722232391.22
20,"congressman john lewis, an american hero, made allegations that sarah palin and i were somehow associated with ... the worst chapter in american history. ... and, senator obama, you didn't repudiate those remarks.",1,0,36910168076406.164
21,weve outdrawn the super bowl for a little while now in the arenas and stadiums that weve followed them in for the super bowl. weve gone in after [the nfl] and surpassed their ticket sales.,1,0,36805858824811.9
22,"22 times barack obama said he did not have the authority to implement this type of anti-deportation measure. and then the day after he signed this into law, he said, quote, i just changed the law.",1,0,33829704984026.586
23,"says a youtube video shows thomas dimassimo, the man who rushed trump at an ohio rally, dragging the american flag on the ground like it was a piece of garbage.",1,0,29308924036350.516
24,"if you already have health insurance through your job, or medicare, or medicaid, or the va, nothing in this plan will require you or your employer to change the coverage or the doctor you have.",1,0,17664440136910.555
25,i think [a little] less than half of the people in our prisons are in there for less than a year. ... we have people who are check kiters and dont pay child support and we are locking them up in the state pen.,1,0,15391821911874.482
26,"in almost every other country in the world, artists and musicians are paid when their music is played on the radio. in fact, the only countries besides the u.s. who do not have a radio-performance right are china, iran and north korea.",1,0,15173075123794.848
27,"likens obamas predicament to 1982, saying, when reagan just started out, (unemployment was at) exactly the same point. he was two years into his term. the unemployment was well over 10 percent, and it did come out of it.",1,0,8463561510891.461
28,just this week we received the news that for the first time social security is now paying out more in benefits than it's taking in. that was something that was supposed to happen in 2016.,1,0,6908428083817.659
29,women have come through the recession worse off than men the numbers bear that out. we went from a 7 percent unemployment rate for women when he (president barack obama) was elected to an 8.1 percent now.,1,0,6521187523171.247
30,if you are a federally licensed gun dealer and your license is revoked because youve engaged in misconduct ... your entire inventory under prevailing law is deemed your personal collection. you then can sell it free from any background checks.,1,0,3981923619808.7056
31,"with her solution, terrorists can still today and by the way isis knows it, they have been advertising it buy guns online and at gun shows in the united states of america.",1,0,2642813548700.892
32,"parents and teachers are already worrying about what they call the trump effect. they report that bullying and harassment are on the rise in our schools, especially targeting students of color, muslimsand immigrants.",1,0,2446096060667.249
33,"the oddest thing is he doesn't want to do for america what he did for massachusetts. he did mandate health care for massachusetts, which is hillarycare, and he doesn't want to do that for america.",1,0,1824298908270.6704
34,"the first time he ever voted as a democrat was here in florida in 2008. he only voted four times in his life, and he's asking floridians to come out and vote for him.",1,0,1321003981987.1548
35,"(deborah) ross defends those who want to burn the american flag, and even called efforts to ban flag-burning ridiculous, yet refused to help a disabled veteran fly the flag.",1,0,1255236288960.444
36,"when we passed (the stand your ground law), we said it portends horrific events when peoples lives were put into these situations.",1,0,1154892568021.878
37,the iranians are now saying that what were saying the deal is and what they understand it to be are two different things.,1,0,1111366329976.7285
38,"go look on the west point website and youll see those specific words, full scholarship to west point. so even though it is, you know, given as a grant for anybody who gets in, those words are used.",1,0,710335800411.4235
39,"under barack obama's health care proposal, ""if you've got a health care plan that you like, you can keep it.""",1,0,465327501260.68665
40,"before this day is out, 18 more veterans will have taken their own lives. that is the daily average, it is intolerable, and it has to stop.",1,0,391806873516.0775
41,"the top man at yale law school came out ... with just a raging report about former hp ceo carly fiorina,saying she isone of the worst executives in his memory in history running the company.",1,0,369072389158.81635
42,"the fact of the matter is that my colleague from new york, senator clinton, there are 50 percent of the american public that say they're not going to vote for her.",1,0,328996036110.67834
43,"if you are born poor in america, we rank ninth or tenth in our citizens ability to climb up through that ladder and get themselves into the middle class.",1,0,238209720646.9086
