,text,label,pred_class,R
0,stockholm study: us & europe top arms trade globally – saudi arabia’s weapons imports skyrocket over 200 percent,0,1,4999260.399758549
1,stockholm study: us & europe top arms trade globally – saudi arabia’s weapons imports skyrocket over 200 percent,0,1,4999260.399758549
2,russian lawmaker warns: north korea ready to launch missile capable of hitting u.s.,0,1,385986.37565659604
3,n. korea’s latest missile launch aimed at testing carrying “large scale heavy nuclear warhead”,0,1,192188.46410006026
4," trump’s plan to rein in wall street? tax cuts, no oversight, industry insiders in the white house",0,1,30778.045745197414
5,"trump says 'nothing funny' about 'saturday night live,' but audience soars",1,0,27702.044695647044
6,forsaken sultan: erdogan isolated ahead trump meeting in washington,0,1,20966.055827336822
7,north korea: trump’s recklessness could trigger all-out conflict on korean peninsula,0,1,19843.2387581486
8,trump cabinet's first world problem: omitting a few million here and there,1,0,4512.152971910082
9,“senior u.s. official” releases damaging information on russian involvement in syria gas attack,0,1,4166.1090042451715
10,judge seals all video depositions in clinton email case: the hill,1,0,3364.9234883189138
11,sweet home chicago: obama re-emerges in city where it all began,1,0,3234.2914365259835
12,gop voters like trump despite seeing him as not religious: poll,1,0,2690.4786993879184
13,art of the spin: trump bankers question his portrayal of financial comeback,1,0,1887.537487680782
14,sec of state rex tillerson: “steps are under way” to remove syria’s bashar al-assad…“russian government” should “consider carefully continued support for assad regime” [video],0,1,1861.8491280325363
15,"trump finally backs off obama birth claim, falsely says clinton started it",1,0,1546.2108514679142
16,washington state judge issues temporarily block on trump’s immigration ban nationwide,0,1,1485.8108889636974
17,tears and joy on britain’s st. helena as 'world's most useless airport' finally opens,1,0,1447.913675874145
18,putin accuses u.s. of leaking flight path of russian plane shot down by turkey…turkey buying isis oil,0,1,1349.149073581865
19," house gop holds zika bill hostage, proposes plan to slash birth control funding",0,1,1255.2171686495828
20,"wmd fraud: sexed-up un ‘chemical weapons’ report on syria contrived to trigger more sanctions, intervention",0,1,1248.2603433736647
21,"wmd fraud: sexed-up un ‘chemical weapons’ report on syria contrived to trigger more sanctions, intervention",0,1,1248.2603433736647
22,"disillusionment, u.s.a. where voters are just hoping for change.",1,0,1212.7196314056837
23,what do i need to know about the cia's hacking program?,1,0,965.6425526478383
24, report: trump businesses seeking dozens of special visas for foreign workers,0,1,959.6114597541324
25,special report: why an emblematic american city has turned to trump,1,0,927.2517247882342
26,trump: sexual-assault accusers 'want to stop our movement',1,0,864.763302512889
27,donald trump jr. appears with white supremacist on radio show,1,0,862.4398072879025
28,senator rand paul returns to work after being tackled while mowing lawn,1,0,856.838327166791
29,"obama: trump doesn't know much about foreign policy, world",1,0,818.5140955221691
30,"daughter chelsea casts clinton as great mom, driven public servant",1,0,771.6786081058149
31,what's a 'dotard' anyway? kim's insult to trump,1,0,734.5222398143559
32,what's a 'dotard' anyway? kim's insult to trump,1,0,734.5222398143559
33,facebook partners with news outlets for election day live video blitz,1,0,632.9332701379245
34, china warns trump: provoke north korea and ‘pay the price’,0,1,591.5640016631653
35,"'we like paris but are a bit scared,' chinese tourists say after muggings",1,0,528.373025346269
36,"billy bush: it was trump's voice on ""access hollywood"" tape",1,0,368.7874037933966
37, tennessee house speaker warns interns to stay far away from sleazy male lawmakers,0,1,346.0775272578834
38,many 'lost' voters say they have found their candidate in trump,1,0,260.69209814191305
39,trump campaign manager says he called reporter after run-in: cnn,1,0,256.9547765647772
40,jimmy carter: ‘koreans want peace treaty to replace 1953 ceasefire’,0,1,235.51011961339083
41,teen jackie evancho first singer confirmed for trump inauguration,1,0,232.97467671065206
42,indian hindu tried to raise money with video of killing of muslim: police,1,0,224.5916777161191
43,trump revives keystone and dakota access pipelines,0,1,215.41896683683402
44,north korean mock-up birthday video shows missiles blowing up u.s.,1,0,210.42855495182928
45,canada sends troops to u.s. border to deal with illegals and asylum seekers running from trump’s new policies on immigration,0,1,205.87427957135998
46,text: mitt romney speech slamming donald trump,1,0,181.17619017122718
47,pence not offended by comments to him at 'hamilton' show,1,0,167.989242376205
48,hillary clinton makes surprise appearance at new york film panel,1,0,162.23182876673704
49,obama’s epa pushes for tougher mileage standards for trucks,0,1,158.03087690546639
50,trump allies falsely link reuters to claim detroit video feed was cut short,1,0,134.6350165378123
51,top us spy agency refuses to endorse cia’s ‘russian hacking’ assessment due to “lack of evidence”,0,1,127.01834381539528
52,official photo released to mark 70th wedding anniversary of queen elizabeth,1,0,124.85594777524324
53,"trump on putin: 'we get along very, very well' - cbn interview",1,0,120.52612988177677
54,"schwarzenegger fired, didn't quit 'apprentice': trump",1,0,119.53710958663243
55,hud asks for $4 billion more after spending millions on lobbying congress???,0,1,102.09176423505026
56,fake ‘us embassy’ bust in ghana exposes danger of eu schengen deal with turkey,0,1,101.27207597715916
57,fake ‘us embassy’ bust in ghana exposes danger of eu schengen deal with turkey,0,1,101.27207597715916
58,senators up in arms over obama administration plans to move gitmo to two different states,0,1,100.28352013272593
59,u.s. apologizes for human rights violations at u.n. review to countries with worse human rights violations,0,1,98.83618327931282
60,man who accused seattle mayor of sexual abuse drops lawsuit,1,0,92.95696500681166
61,israel will name new train station near western wall after president donald trump,0,1,88.12632972658922
62,firebrand milo quits breitbart news after child sex remarks,1,0,84.63573898701779
63,woman who accused bill clinton of assault to campaign against hillary presidential run,1,0,84.49906889494906
64, it begins: supreme court rejects racially gerrymandered n.c. districts,0,1,81.08262170678785
65,former fox news chief ailes is not advising trump: campaign,1,0,80.98881010269943
66,"immigrants across the u.s. skip work, school in anti-trump protest",1,0,75.48436637839737
67,obama to protesters: we're all americans - white house,1,0,75.24452296488349
68," several bars will be opening early thursday for comey’s hearing, serving cheap russian vodka",0,1,72.45882345904435
69,brief overview: us military sales to lebanon,0,1,71.75524926065182
70,"without evidence, trump launches 59 cruise missiles, destroying syrian air force base",0,1,69.81978684094798
71,russia’s strange 45-acre maryland compound closed down to punish diplomats,0,1,68.57197011221045
72,clinton turns down fox news offer to debate sanders again,1,0,65.31641131628749
73,"the final control: tpp, ttip, tisa global corporate takeover",0,1,63.42803373596544
74,obama to democrats: 'i want us to run scared' in election,1,0,60.52574756343899
75,u.s. congressman to resign after report alleged he asked woman to have an abortion,1,0,58.53700561362937
76,biden says obama won't be able to pick the 'most liberal jurist',1,0,54.926465923857016
77,"blue-collar democrats to party: it's still the economy, stupid",1,0,54.704510556540754
78,sterling quarterback crop lead way into the playoffs,1,0,54.4729823552668
79,"asked about russia sanctions, trump says 'we ought to get on with our lives'",1,0,49.07837750782733
80,"in georgia, a democrat's 'make trump furious' campaign rattles republicans",1,0,48.510440088780946
81,family of australian woman fatally shot wants minnesota cop charged,1,0,48.106117015749305
82,obama torches trump at his final washington correspondents' dinner,1,0,43.653004435901174
83,comey to confirm trump pressured him on flynn investigation: cnn,1,0,43.37344871969161
84,german police arrest man after posting photo of child abuse victim,1,0,43.27341513679046
85,"obama on fbi: 'we don't operate on innuendo,' leaks",1,0,42.96767096231324
86,baseball field shooting shakes american symbol of fair play,1,0,41.60854344326593
87,"powell reveals disgust with trump, distaste for clinton in hacked emails",1,0,41.412201772009496
